Country,Type,Event,Date.effective,Link,X
Michigan,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Michigan,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Michigan,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Michigan#Government_response,placeholder
Minnesota,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,travel_restrictions,placeholder,27.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,Public events,placeholder,14.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,Lockdown,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Minnesota,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Minnesota#Government_response,placeholder
Mississippi,Schools + Universities,placeholder,20.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,travel_restrictions,placeholder,3.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,Public events,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,Lockdown,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,Self-isolating if ill,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Mississippi,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi,placeholder
Missouri,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,travel_restrictions,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,Public events,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,sport,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,Lockdown,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,Self-isolating if ill,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Missouri,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Missouri,placeholder
Montana,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,travel_restrictions,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,Public events,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,sport,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,Lockdown,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,Self-isolating if ill,placeholder,22.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Montana,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,placeholder
Nebraska,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,Public events,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,Self-isolating if ill,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nebraska,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nebraska,placeholder
Nevada,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,travel_restrictions,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,Self-isolating if ill,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
Nevada,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nevada,placeholder
New Hampshire,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,travel_restrictions,placeholder,27.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,Lockdown,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,Self-isolating if ill,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Hampshire,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Hampshire,placeholder
New Jersey,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,travel_restrictions,placeholder,21.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,sport,placeholder,21.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,Lockdown,placeholder,21.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Jersey,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,placeholder
New Mexico,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,travel_restrictions,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,Public events,placeholder,11.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,sport,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,Self-isolating if ill,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New Mexico,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Mexico,placeholder
New York,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,travel_restrictions,placeholder,22.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,Public events,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,Lockdown,placeholder,22.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
New York,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,placeholder
North Carolina,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,travel_restrictions,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,Public events,placeholder,14.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,Lockdown,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Carolina,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response,placeholder
North Dakota,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,Self-isolating if ill,placeholder,6.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
North Dakota,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Dakota,placeholder
Northern Marianas ,Schools + Universities,placeholder,17.03.2020,,placeholder
Northern Marianas ,travel_restrictions,placeholder,13.04.2020,,placeholder
Northern Marianas ,Public events,placeholder,13.04.2020,,placeholder
Northern Marianas ,sport,placeholder,13.04.2020,,placeholder
Northern Marianas ,Lockdown,placeholder,13.04.2020,,placeholder
Northern Marianas ,Self-isolating if ill,placeholder,13.04.2020,,placeholder
Northern Marianas ,Social distancing encouraged,placeholder,13.04.2020,,placeholder
Ohio,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,Public events,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Ohio,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ohio#Government_response,placeholder
Oklahoma,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,travel_restrictions,placeholder,2.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,Public events,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,Self-isolating if ill,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oklahoma,Social distancing encouraged,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oklahoma,placeholder
Oregon,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,Public events,placeholder,11.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,Self-isolating if ill,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Oregon,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,placeholder
Pennsylvania,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,travel_restrictions,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,Public events,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,sport,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,Lockdown,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Pennsylvania,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Pennsylvania#Government_response,placeholder
Puerto Rico,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,travel_restrictions,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,Public events,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,sport,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,Lockdown,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Puerto Rico,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico#Government_response,placeholder
Rhode Island,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,travel_restrictions,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,Public events,placeholder,27.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,sport,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,Lockdown,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
Rhode Island,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rhode_Island,placeholder
South Carolina,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,travel_restrictions,placeholder,7.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,Public events,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,sport,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,Lockdown,placeholder,7.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Carolina,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#cite_note-ncaa-70,placeholder
South Dakota,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,Self-isolating if ill,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
South Dakota,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota,placeholder
Tennessee,Schools + Universities,placeholder,20.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,travel_restrictions,placeholder,2.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Tennessee,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Tennessee#Government_response,placeholder
Texas,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,travel_restrictions,placeholder,2.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,Public events,placeholder,10.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,Self-isolating if ill,placeholder,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
Texas,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Texas#Government_response,placeholder
U.S. Virgin Islands ,Schools + Universities,placeholder,18.03.2020,,placeholder
U.S. Virgin Islands ,travel_restrictions,placeholder,25.03.2020,,placeholder
U.S. Virgin Islands ,Public events,placeholder,13.04.2020,,placeholder
U.S. Virgin Islands ,sport,placeholder,13.04.2020,,placeholder
U.S. Virgin Islands ,Lockdown,placeholder,13.04.2020,,placeholder
U.S. Virgin Islands ,Self-isolating if ill,placeholder,13.04.2020,,placeholder
U.S. Virgin Islands ,Social distancing encouraged,placeholder,13.04.2020,,placeholder
Utah,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,Public events,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,Lockdown,placeholder,27.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Utah,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Utah#Government_response,placeholder
Vermont,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,travel_restrictions,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,Public events,placeholder,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,Lockdown,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Vermont,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vermont#Government_response,placeholder
Virginia,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,travel_restrictions,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,Public events,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,Lockdown,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,Self-isolating if ill,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Virginia,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Virginia#Government_response,placeholder
Washington,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,Public events,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
Washington,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response,placeholder
West Virginia,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
West Virginia,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
West Virginia,Public events,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
West Virginia,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_West_Virginia#Government_responses,placeholder
